dataset,run_id,Accuracy,Precision,Recall,F1,AUC
pytorch,0,0.6357615894039735,0.6134683098591549,0.7692147034252297,0.561903254734399,0.7692147034252297
pytorch,1,0.6357615894039735,0.642067392067392,0.7350464576074333,0.5985013294657965,0.7350464576074331
pytorch,2,0.6357615894039735,0.595593461265103,0.7053435114503817,0.5560010692328254,0.7053435114503817
pytorch,3,0.5960264900662252,0.6080962416578855,0.7254578754578754,0.5416728865004727,0.7254578754578755
pytorch,4,0.6158940397350994,0.6181578947368421,0.7209645669291338,0.5664356435643564,0.7209645669291338
pytorch,5,0.6423841059602649,0.5864937388193202,0.7695094760312151,0.5333104395604396,0.7695094760312152
pytorch,6,0.609271523178808,0.6016146016146016,0.7541703248463565,0.5360137492838914,0.7541703248463565
pytorch,7,0.6291390728476821,0.5881307746979388,0.6977671451355663,0.5447889750215331,0.6977671451355661
pytorch,8,0.6026490066225165,0.5951210951210951,0.7263993316624895,0.531055900621118,0.7263993316624896
pytorch,9,0.6357615894039735,0.6071428571428571,0.7977941176470589,0.5497424776362158,0.7977941176470589
tensorflow,0,0.5906040268456376,0.645179190751445,0.7349046015712682,0.5666952707856598,0.7349046015712682
tensorflow,1,0.5805369127516778,0.6455852827193351,0.736642380085003,0.5582043527249007,0.736642380085003
tensorflow,2,0.5637583892617449,0.6189091915836102,0.71475,0.5316731141199227,0.71475
tensorflow,3,0.5100671140939598,0.6176788522012578,0.6995833333333333,0.4907771535580524,0.6995833333333333
tensorflow,4,0.5503355704697986,0.6237899608065354,0.6961466517022072,0.5299905838041431,0.6961466517022072
tensorflow,5,0.5604026845637584,0.6273287575290657,0.7199193548387097,0.5339469694256413,0.7199193548387097
tensorflow,6,0.5906040268456376,0.6668096872616324,0.7336404914529915,0.5787449017426771,0.7336404914529915
tensorflow,7,0.5469798657718121,0.6311475409836066,0.73,0.5228607009428927,0.73
tensorflow,8,0.587248322147651,0.6531367041198501,0.7381160369804178,0.5679377615371015,0.7381160369804178
tensorflow,9,0.5503355704697986,0.6283231808093687,0.7227276452749775,0.5256355428842956,0.7227276452749775
keras,0,0.5298507462686567,0.624515503875969,0.6779162339910003,0.5180131316014844,0.6779162339910004
keras,1,0.6268656716417911,0.6421875,0.7585227272727273,0.5862154150197628,0.7585227272727273
keras,2,0.47761194029850745,0.5838178294573644,0.6517543859649123,0.4537619380386676,0.6517543859649123
keras,3,0.6044776119402985,0.6387387387387388,0.7260550458715597,0.5755184985954216,0.7260550458715596
keras,4,0.5447761194029851,0.6210131332082551,0.6893577981651376,0.5255122772392175,0.6893577981651376
keras,5,0.5671641791044776,0.6354530631260191,0.7012807199723088,0.5502314814814815,0.7012807199723088
keras,6,0.5522388059701493,0.6487154150197628,0.6844362745098039,0.5472972972972974,0.6844362745098039
keras,7,0.5597014925373134,0.5995916515426497,0.6441707717569787,0.5380660239555946,0.6441707717569787
keras,8,0.582089552238806,0.638507326007326,0.7291666666666667,0.5568154972832506,0.7291666666666667
keras,9,0.5223880597014925,0.6521739130434783,0.6981132075471699,0.5171171171171172,0.6981132075471699
incubator-mxnet,0,0.6442307692307693,0.6023238380809596,0.7307692307692308,0.5622796041405984,0.7307692307692308
incubator-mxnet,1,0.6634615384615384,0.6313923105636432,0.75,0.6015325670498084,0.75
incubator-mxnet,2,0.5961538461538461,0.6181818181818182,0.7692307692307692,0.5411764705882353,0.7692307692307692
incubator-mxnet,3,0.5865384615384616,0.6079777365491651,0.730952380952381,0.5337295381086435,0.7309523809523809
incubator-mxnet,4,0.5865384615384616,0.5939696633370329,0.730072463768116,0.5188811188811189,0.7300724637681159
incubator-mxnet,5,0.5769230769230769,0.6121687196715192,0.7250936329588016,0.5326797385620915,0.7250936329588014
incubator-mxnet,6,0.6442307692307693,0.6063829787234043,0.8031914893617021,0.5529220401998374,0.8031914893617021
incubator-mxnet,7,0.5576923076923077,0.6166666666666667,0.7444444444444445,0.5175473981444131,0.7444444444444445
incubator-mxnet,8,0.6057692307692307,0.6261595547309833,0.7414772727272727,0.5616325691374524,0.7414772727272727
incubator-mxnet,9,0.6153846153846154,0.6226415094339622,0.7802197802197802,0.5561246265471618,0.7802197802197802
caffe,0,0.5517241379310345,0.59375,0.75,0.49122807017543857,0.75
caffe,1,0.5344827586206896,0.5488095238095239,0.6547169811320754,0.4476190476190476,0.6547169811320754
caffe,2,0.4482758620689655,0.5354037267080746,0.6075471698113208,0.3894736842105263,0.6075471698113208
caffe,3,0.3448275862068966,0.4457070707070707,0.30092592592592593,0.275,0.30092592592592593
caffe,4,0.6551724137931034,0.6296296296296297,0.803921568627451,0.5839311334289814,0.803921568627451
caffe,5,0.46551724137931033,0.5496894409937888,0.6282051282051282,0.41528455284552845,0.6282051282051282
caffe,6,0.7931034482758621,0.5897435897435898,0.5583333333333333,0.565,0.5583333333333332
caffe,7,0.29310344827586204,0.5543478260869565,0.6132075471698113,0.2826546003016591,0.6132075471698113
caffe,8,0.5172413793103449,0.5436081242532855,0.6022408963585434,0.4520917678812416,0.6022408963585435
caffe,9,0.6206896551724138,0.5805288461538461,0.7147435897435898,0.5252976190476191,0.7147435897435899
