dataset,run_id,Accuracy,Precision,Recall,F1
pytorch,0,0.8741721854304636,0.7124060150375939,0.7027511961722488,0.7073941866394697
pytorch,1,0.8675496688741722,0.69896331738437,0.69896331738437,0.69896331738437
pytorch,2,0.8940397350993378,0.7678372352285396,0.6915869218500797,0.7203703703703703
pytorch,3,0.8807947019867549,0.7336309523809523,0.5938995215311005,0.6212374581939799
pytorch,4,0.8807947019867549,0.7262987012987012,0.6389553429027113,0.6669117647058824
pytorch,5,0.8543046357615894,0.6611062335381914,0.6463317384370015,0.6530910609857978
pytorch,6,0.9139072847682119,0.8390287769784173,0.7254784688995215,0.7663373407927627
pytorch,7,0.8874172185430463,0.7455683003128258,0.687799043062201,0.71082572941309
pytorch,8,0.8874172185430463,0.7455683003128258,0.687799043062201,0.71082572941309
pytorch,9,0.8609271523178808,0.6743055555555555,0.6501196172248803,0.6606741573033708
tensorflow,0,0.8959731543624161,0.8522115823073415,0.7849763872491144,0.812247220697925
tensorflow,1,0.9060402684563759,0.8899797570850203,0.7843122786304604,0.8231753835720946
tensorflow,2,0.8959731543624161,0.843138085954056,0.7987012987012987,0.8180744008349908
tensorflow,3,0.8791946308724832,0.8163922691481746,0.7609208972845336,0.7837096774193548
tensorflow,4,0.87248322147651,0.8030601288475304,0.7499262101534829,0.7716935483870968
tensorflow,5,0.8926174496644296,0.8316935483870967,0.8034976387249114,0.8164035425490951
tensorflow,6,0.889261744966443,0.8305077562092057,0.787706611570248,0.8063372654049903
tensorflow,7,0.8993288590604027,0.8563886900501074,0.793904958677686,0.8197580645161291
tensorflow,8,0.889261744966443,0.8242835595776772,0.801431523022432,0.8120520612350208
tensorflow,9,0.8389261744966443,0.7412907268170426,0.7841646989374262,0.7584599797365754
keras,0,0.8507462686567164,0.7994397759103642,0.685012114918657,0.7176569742941424
keras,1,0.8731343283582089,0.8087121212121212,0.782104534440983,0.7941628264208909
keras,2,0.8656716417910447,0.8225238813474107,0.722049151955694,0.755275974025974
keras,3,0.8880597014925373,0.8417207792207793,0.7914503288335064,0.8126922001677384
keras,4,0.8805970149253731,0.8322798145806996,0.7729318103149878,0.7969696969696969
keras,5,0.8731343283582089,0.8223684210526316,0.7544132917964694,0.7806873977086743
keras,6,0.8656716417910447,0.8118993135011441,0.7358947732779508,0.763807285546416
keras,7,0.8805970149253731,0.8187155963302752,0.8006230529595015,0.809116809116809
keras,8,0.8432835820895522,0.7579545454545454,0.7357217030114227,0.74573055028463
keras,9,0.8582089552238806,0.7929824561403509,0.7312218760816891,0.7548859150861653
incubator-mxnet,0,0.8557692307692307,0.6648550724637681,0.6538461538461539,0.659016393442623
incubator-mxnet,1,0.8942307692307693,0.7590579710144928,0.7417582417582418,0.7499453551912569
incubator-mxnet,2,0.8557692307692307,0.652127659574468,0.6208791208791209,0.6333725029377204
incubator-mxnet,3,0.8846153846153846,0.735672514619883,0.6703296703296704,0.6950146627565982
incubator-mxnet,4,0.8846153846153846,0.7455108359133127,0.8351648351648352,0.7784090909090908
incubator-mxnet,5,0.8846153846153846,0.7385767790262172,0.7692307692307693,0.7523809523809524
incubator-mxnet,6,0.8846153846153846,0.7393225331369662,0.6373626373626373,0.6680851063829787
incubator-mxnet,7,0.875,0.703125,0.6318681318681318,0.6557168321874205
incubator-mxnet,8,0.8942307692307693,0.7627659574468084,0.7087912087912088,0.7311398354876616
incubator-mxnet,9,0.8942307692307693,0.7627659574468084,0.7087912087912088,0.7311398354876616
caffe,0,0.8448275862068966,0.5694444444444444,0.542016806722689,0.548051948051948
caffe,1,0.8620689655172413,0.43859649122807015,0.49019607843137253,0.46296296296296297
caffe,2,0.896551724137931,0.7878787878787878,0.6330532212885154,0.6716981132075472
caffe,3,0.8275862068965517,0.5938375350140056,0.5938375350140056,0.5938375350140056
caffe,4,0.8103448275862069,0.575,0.5840336134453781,0.5788778877887789
caffe,5,0.896551724137931,0.7878787878787878,0.6330532212885154,0.6716981132075472
caffe,6,0.896551724137931,0.9473684210526316,0.5714285714285714,0.5972222222222222
caffe,7,0.8448275862068966,0.4375,0.4803921568627451,0.45794392523364486
caffe,8,0.8620689655172413,0.6121212121212121,0.5518207282913166,0.5622641509433962
caffe,9,0.9482758620689655,0.9722222222222222,0.7857142857142857,0.8493506493506493
